Organization Name,Organization Name URL,Transaction Name,Transaction Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location,Year,Organization Name Modified,id,name modified,url,stagename,Time Since Announced,Month,Classification
Granto Seguros,https://www.crunchbase.com/organization/granto-seguros,Pre Seed Round - Granto Seguros,https://www.crunchbase.com/funding_round/granto-seguros-pre-seed--c1e0a177,120000.0,BRL,22731.0,Pre-Seed,"Impact Investing, Insurance, InsurTech",2022-12-14,,Anjos do Brasil,Seed,120000.0,BRL,22731.0,15000000.0,BRL,2841393.0,Yes,Granto Seguros is an insurance brokerage firm that provides insurance contracts through technological provisions.,,grantoseguros.com,,Seed,2,"Uberaba, Mato Grosso, Brazil, South America",2022,grantoseguros,26194.0,grantoseguros,grantoseguros.com,Discard,624,12,Pendente Classificação
I.Systems,https://www.crunchbase.com/organization/i-systems,Series A - I.Systems,https://www.crunchbase.com/funding_round/i-systems-series-a--b02af474,,USD,,Series A,"Industrial Automation, Information Technology, Internet, Internet of Things, Software",2022-12-15,CSN Inova Ventures,CSN Inova Ventures,Early Stage Venture,,,,,,,Yes,I.Systems is a Brazilian startup that provides advanced control solutions for industrial processes and 4.0 Industry,,i.systems.com.br,,Early Stage Venture,3,"Campina, Sao Paulo, Brazil, South America",2022,i.systems,1805.0,i.systems,i.systems.com.br,Discard,623,12,Nao tivemos acesso
Adiante Recebiveis,https://www.crunchbase.com/organization/adiante-recebíveis,Corporate Round - Adiante Recebiveis,https://www.crunchbase.com/funding_round/adiante-recebíveis-corporate-round--ba83f48c,1000000.0,USD,1000000.0,Corporate Round,"Consulting, Financial Services, FinTech",2022-12-15,Credix,Credix,,1000000.0,USD,1000000.0,,,,Yes,Adiante Recebiveis is a fintech startup that offers end-to-end digital products and solutions to customers.,,adiantesa.com,,,1,"São Paulo, Sao Paulo, Brazil, South America",2022,adianterecebiveis,19572.0,adiante,adiantesa.com,Discard,623,12,Indefinido
Inklo,https://www.crunchbase.com/organization/inklo-6b10,Pre Seed Round - Inklo,https://www.crunchbase.com/funding_round/inklo-6b10-pre-seed--db9da624,697310.0,USD,697310.0,Pre-Seed,"Financial Services, FinTech, Health Care",2022-12-15,,,Seed,1500000.0,BRL,282310.0,,,,Yes,Inklo is a fintech that offers financial services for medical procedures and services for healthcare institutions.,,inklo.com.br,,Seed,2,"Minas Gerais, Acre, Brazil, South America",2022,inklo,22260.0,inklo,inklo.com.br,Discard,623,12,Indefinido
NovoAgro Ventures,https://www.crunchbase.com/organization/novoagro-ventures,Venture Round - NovoAgro Ventures,https://www.crunchbase.com/funding_round/novoagro-ventures-series-unknown--bcc8e1d7,300000.0,USD,300000.0,Venture - Series Unknown,"AgTech, Angel Investment, Venture Capital",2022-12-16,,Rafael Santos,,,,,,,,Yes,First exclusive Corporate Venture Builder at Agribusiness in Brazil. A partnership between the FAEMG System and the FCJ Group.,,novoagro.ventures,,,2,"Belo Horizonte, Minas Gerais, Brazil, South America",2022,novoagroventures,,,,Nao tivemos acesso,622,12,Nao tivemos acesso
Cativa,https://www.crunchbase.com/organization/cativa-bbf9,Angel Round - Cativa,https://www.crunchbase.com/funding_round/cativa-bbf9-angel--ff4eb78c,150000.0,USD,150000.0,Angel,"Communities, SaaS",2022-12-18,,,Seed,150000.0,USD,150000.0,6000000.0,USD,6000000.0,Yes,"SaaS white label social network platform for communities, brands and creators",,cativa.digital,,Seed,1,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",2022,cativa,,,,Nao tivemos acesso,620,12,Nao tivemos acesso
AGORAB2B,https://www.crunchbase.com/organization/centrobit-agora,Pre Seed Round - AGORAB2B,https://www.crunchbase.com/funding_round/centrobit-agora-pre-seed--10690d9c,205000.0,USD,205000.0,Pre-Seed,"B2B, E-Commerce, E-Commerce Platforms, Procurement, SaaS",2022-12-18,,,Seed,50000.0,USD,50000.0,250000.0,USD,250000.0,Yes,POWERFUL platform for B2B e-commerce and sourcing,,agorab2b.com,$500M to $1B,Seed,5,"São Paulo, Sao Paulo, Brazil, South America",2022,agorab2b,,,,Nao tivemos acesso,620,12,Nao tivemos acesso
Pods,https://www.crunchbase.com/organization/pods-9a64,Seed Round - Pods,https://www.crunchbase.com/funding_round/pods-9a64-seed--ef8288b7,5600000.0,USD,5600000.0,Seed,"Blockchain, Cryptocurrency, FinTech",2022-12-19,,"Alexia Ventures, Fourth Revolution Capital, Framework Ventures, IOSG Ventures, Republic, Tomahawk.VC",Seed,5600000.0,USD,5600000.0,,,,Yes,The easiest way to hedge crypto.,,pods.finance,$1M to $10M,,3,"São Paulo, Sao Paulo, Brazil, South America",2022,pods,19517.0,pods,pods.finance,Discard,619,12,Pendente Classificação
Cubos Academy,https://www.crunchbase.com/organization/cubos-academy,Seed Round - Cubos Academy,https://www.crunchbase.com/funding_round/cubos-academy-seed--c713406a,23200000.0,BRL,4382816.0,Seed,"E-Learning, Education, IT Management, Product Management, Software",2022-12-19,Vox Capital,"Solum Capital, Vox Capital",Seed,23200000.0,BRL,4382816.0,,,,Yes,Cubos Academy offers online classes for individuals related to IT consulting and services.,,cubos.academy,,Seed,1,"Salvador, Sao Paulo, Brazil, South America",2022,cubosacademy,18075.0,cubosacademy,cubos.academy,Discard,619,12,Pendente Classificação
Sales Journey,https://www.crunchbase.com/organization/sales-journey,Pre Seed Round - Sales Journey,https://www.crunchbase.com/funding_round/sales-journey-pre-seed--165d81fa,600000.0,BRL,113349.0,Pre-Seed,"CRM, FinTech, SaaS, Sales Automation",2022-12-19,,,Seed,600000.0,BRL,113348.0,,,,Yes,"Transforming Sales Ops with an AI-powered SaaS platform, in addition to CRM capabilities, focusing on governance and data-driven strategies.",,salesjourney.io,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2022,salesjourney,23974.0,salesjourney,salesjourney.io,Fazer Teste de Aderência,619,12,Nao tivemos acesso
