Organization Name,Total Funding Amount Currency (in USD),Funding Type,stagename,Analise descarte,,
eureciclo,"$23,050,000",Series A,Discard,Dúvida,,
VIPe,"$22,998,037",Series A,,Não tivemos acesso,,
Foxbit,"$21,130,000",Series A,Discard,Dúvida,,
Agrotools,"$21,000,000",Series A,Cadastro Startup,Não tivemos acesso,,
Beejobs,"$20,400,000",Series A,Discard,Dúvida,,
smartbrain,"$20,000,000",Series A,Cadastro Startup,Não tivemos acesso,,
Quanto,"$20,000,000",Series A,Registered,Não tivemos acesso,,
NovaDAX,"$20,000,000",Series A,,Não tivemos acesso,,
Inloco,"$20,000,000",Series A,Cadastro Startup,Não tivemos acesso,,
Klivo,"$19,379,746",Series A,Discard,Verdadeiro Negativo,,
Arado,"$19,370,375",Series A,Discard,Falso Negativo,,
Origem,"$19,064,936",Series A,Discard,Falso Negativo,,
Mecanizou,"$18,495,794",Series A,Discard,Falso Negativo,,
Ideal CTVM,"$18,468,926",Series A,,Não tivemos acesso,,
Azos,"$18,266,670",Series A,Fazer Teste de Aderência,Não tivemos acesso,,
STILINGUE,"$18,000,000",Series A,Discard,Dúvida,,
Magnetis,"$17,400,000",Series A,Discard,Dúvida,,
Clubbi,"$17,050,000",Series A,Registered,Não tivemos acesso,,
ISA,"$17,000,000",Series A,Discard,Falso Negativo,,
HeroSpark,"$17,000,000",Series A,Discard,Não se aplica,,
Zippi,"$16,718,317",Series A,Discard,Não tivemos acesso,,
Onfly,"$16,613,109",Series A,Discard,Falso Negativo,,
Klavi,"$16,500,000",Series A,Discard,Não tivemos acesso,,
Seedz,"$16,500,000",Series A,Discard,Não tivemos acesso,,
Bom Pra Crédito,"$16,123,860",Series A,Discard,Dúvida,,
Tabas,"$16,050,000",Series A,Discard,Dúvida,,
Franq,"$15,987,034",Series A,Registered,Não tivemos acesso,,
Smart Break,"$15,980,319",Series A,Fazer Teste de Aderência,Não tivemos acesso,,
Agrosmart,"$15,500,000",Series A,Discard,Não se aplica,,
StartSe,"$15,000,000",Series A,,Não tivemos acesso,,
Medway,"$15,000,000",Series A,Discard,Falso Negativo,,
Marvin.,"$15,000,000",Series A,Discard,Não tivemos acesso,,
Zenklub,"$14,779,869",Series A,Discard,Dúvida,,
