,Organization Name,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised (in USD),Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location,Year,Time Diff
8553,Privacy Tools,1010945.0,Seed,"Compliance, Cyber Security, Information Technology, Legal, Legal Tech, Network Security, Privacy, Software",2022-02-10,,DOMO.VC,Seed,380945.0,,Yes,"Privacy compliance platform, based on AI/Blockchain, which helps global companies to keep compliant with the data protection requirements.",https://privacytools.com.br/,$1M to $10M,Seed,5,"Porto Alegre, Rio Grande do Sul, Brazil, South America",2022,193.0
8554,Pro Soccer,,Seed,"Fitness, Software, Sports",2023-04-01,,Bossanova Investimentos,Seed,,,Yes,Pro Soccer is a software company offering a system of integrating multidisciplinary data in football.,https://prosoccerapp.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2023,
8555,Pro Solus do Brasil,15000000.0,Funding Round,"Agriculture, Clean Energy",2021-06-30,,GEF Capital Partners,,15000000.0,,Yes,Technologic Agriculture Equipments,http://www.prosolus.com,$1M to $10M,,1,"Campo Mourão, Parana, Brazil, South America",2021,
8556,ProBrain,,Venture - Series Unknown,"Fitness, Wellness",2022-06-01,,Bossanova Investimentos,,,,Yes,"ProBrain innovates solutions to stimulate brain connections and improve the focus, memory, attention and communication skills of all people.",https://probrain.com.br,,,1,"São Paulo, Sao Paulo, Brazil, South America",2022,
8557,ProCompra,1342868.0,Seed,"B2B, Content Marketing, E-Commerce, Internet, SEM, Shopping",2014-08-01,,Costa Family Office,Seed,1342867.0,,Yes,ProCompra operates as a channel between customers and providers that offer furniture services such as planning and/or restructuring.,http://www.procompra.com.br/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2014,
8558,ProCompra,1342868.0,Seed,"B2B, Content Marketing, E-Commerce, Internet, SEM, Shopping",2014-08-01,,Project A Ventures,Seed,1342867.0,,Yes,ProCompra operates as a channel between customers and providers that offer furniture services such as planning and/or restructuring.,http://www.procompra.com.br/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2014,
8559,ProDeaf,142068.0,Seed,"Communications Infrastructure, Information Technology, Software",2013-05-01,,Wayra,Seed,54842.0,,Yes,"Prodeaf is a text and voice translation software for Portuguese Libras , the Brazilian sign language.",http://www.prodeaf.net,,M&A,3,"Pernambuco, Pernambuco, Brazil, South America",2013,
8560,ProDeaf,142068.0,Grant,"Communications Infrastructure, Information Technology, Software",2013-08-01,,Wayra,,87225.0,,No,"Prodeaf is a text and voice translation software for Portuguese Libras , the Brazilian sign language.",http://www.prodeaf.net,,M&A,3,"Pernambuco, Pernambuco, Brazil, South America",2013,92.0
8561,ProDeaf,142068.0,Non-equity Assistance,"Communications Infrastructure, Information Technology, Software",2016-07-01,Google for Startups,Google for Startups,,,,No,"Prodeaf is a text and voice translation software for Portuguese Libras , the Brazilian sign language.",http://www.prodeaf.net,,M&A,3,"Pernambuco, Pernambuco, Brazil, South America",2016,1065.0
8562,ProPay,,Private Equity,"Business Development, Human Resources, Outsourcing",2000-11-30,,General Atlantic,Private Equity,,,Yes,ProPay is a Brazilian company that specializes in outsourcing services for Human Resources processes.,https://www.propay.com.br/,,Private Equity,1,"São Paulo, Sao Paulo, Brazil, South America",2000,
8563,ProRadis,3844763.0,Convertible Note,"Health Diagnostics, Information Technology, Medical, Software",2014-02-15,,Wayra,,44867.0,,No,ProRadis is an IT company that develops software specializing in the management and operation of clinics and radiology laboratories.,http://www.proradis.com.br/,,Early Stage Venture,5,"São Paulo, Sao Paulo, Brazil, South America",2014,
8564,ProRadis,3844763.0,Grant,"Health Diagnostics, Information Technology, Medical, Software",2014-04-01,,Wayra,,88393.0,,No,ProRadis is an IT company that develops software specializing in the management and operation of clinics and radiology laboratories.,http://www.proradis.com.br/,,Early Stage Venture,5,"São Paulo, Sao Paulo, Brazil, South America",2014,45.0
